,CPI,YOY
1998-07,173.3,2.2418879056047336
1998-08,173.8,2.4764150943396235
1998-09,174.2,2.4705882352941133
1998-10,174.7,2.2833723653395754
1998-11,174.8,2.3419203747072626
1998-12,174.8,2.40187463386059
1999-01,175.3,2.394859813084116
1999-02,175.7,2.091807088901798
1999-03,176.2,2.085747392815751
1999-04,176.8,2.19653179190753
1999-05,176.6,2.021952628538415
1999-06,176.6,2.0809248554913173
1999-07,176.9,2.0773225620311475
1999-08,177.1,1.8987341772151778
1999-09,177.7,2.0091848450057403
1999-10,178.3,2.0606754436176544
1999-11,178.4,2.0594965675057253
1999-12,178.2,1.9450800915331579
2000-01,178.8,1.996577296063884
2000-02,179.5,2.1627774615822437
2000-03,180.5,2.4404086265607416
2000-04,180.9,2.3190045248868696
2000-05,180.9,2.4348810872027338
2000-06,181.0,2.491506228765572
2000-07,181.3,2.4872809496890858
2000-08,181.7,2.5974025974025983
2000-09,182.3,2.58863252673045
2000-10,182.8,2.5238362310712192
2000-11,183.0,2.578475336322872
2000-12,182.8,2.5813692480359363
2001-01,183.5,2.6286353467561474
2001-02,184.4,2.7298050139275887
2001-03,185.3,2.659279778393353
2001-04,185.6,2.598120508568269
2001-05,185.5,2.5428413488114865
2001-06,185.9,2.707182320442003
2001-07,186.2,2.7027027027026973
2001-08,186.6,2.6967528893780957
2001-09,187.1,2.6330224904004274
2001-10,187.6,2.6258205689277725
2001-11,188.1,2.786885245901627
2001-12,187.8,2.7352297592997843
2002-01,188.2,2.5613079019073615
2002-02,189.2,2.6030368763557465
2002-03,189.8,2.4284943335132203
2002-04,190.3,2.532327586206895
2002-05,190.2,2.5336927223719607
2002-06,190.1,2.2592791823560887
2002-07,190.3,2.2019334049409256
2002-08,191.0,2.3579849946409492
2002-09,191.3,2.2447888829502993
2002-10,191.8,2.2388059701492713
2002-11,191.8,1.9670388091440838
2002-12,191.4,1.9169329073482455
2003-01,191.8,1.9128586609989506
2003-02,192.5,1.744186046511631
2003-03,193.0,1.6859852476290849
2003-04,193.1,1.4713610089332585
2003-05,193.2,1.577287066246047
2003-06,193.0,1.525512887953706
2003-07,193.2,1.523909616395147
2003-08,193.5,1.308900523560208
2003-09,193.6,1.202300052273908
2003-10,194.3,1.3034410844629862
2003-11,193.9,1.0948905109489093
2003-12,193.6,1.1494252873563093
2004-01,194.0,1.147028154327412
2004-02,194.9,1.2467532467532516
2004-03,196.1,1.6062176165803077
2004-04,196.5,1.7607457276022753
2004-05,196.5,1.7080745341614856
2004-06,196.6,1.865284974093262
2004-07,196.6,1.7598343685300222
2004-08,196.8,1.7054263565891459
2004-09,197.4,1.9628099173553792
2004-10,198.2,2.007205352547592
2004-11,198.1,2.166064981949445
2004-12,197.8,2.169421487603307
2005-01,198.4,2.268041237113394
2005-02,199.5,2.360184710107749
2005-03,200.7,2.3457419683834857
2005-04,200.9,2.23918575063613
2005-05,200.8,2.188295165394405
2005-06,200.6,2.0345879959308144
2005-07,200.8,2.136317395727372
2005-08,201.0,2.1341463414634054
2005-09,201.3,1.9756838905775176
2005-10,202.3,2.068617558022212
2005-11,202.3,2.120141342756199
2005-12,202.1,2.1739130434782483
2006-01,202.6,2.116935483870952
2006-02,203.6,2.055137844611532
2006-03,204.9,2.0926756352765308
2006-04,205.5,2.2896963663514125
2006-05,205.7,2.440239043824688
2006-06,205.9,2.6420737786640114
2006-07,206.2,2.689243027888444
2006-08,206.7,2.8358208955223896
2006-09,207.2,2.930948832588176
2006-10,207.8,2.718734552644597
2006-11,207.6,2.6198714780029553
2006-12,207.3,2.57298367144978
2007-01,208.009,2.669792694965456
2007-02,209.112,2.7072691552062933
2007-03,209.923,2.4514397266959476
2007-04,210.311,2.341119221411203
2007-05,210.316,2.2440447253281537
2007-06,210.474,2.221466731423005
2007-07,210.756,2.2095053346265825
2007-08,211.111,2.134010643444606
2007-09,211.628,2.1370656370656382
2007-10,212.318,2.1742059672762215
2007-11,212.435,2.328998073217736
2007-12,212.356,2.4389773275446114
2008-01,213.138,2.4657586931334796
2008-02,213.866,2.2734228547381496
2008-03,214.866,2.3546729038742775
2008-04,215.059,2.2576089695736323
2008-05,215.18,2.312710397687301
2008-06,215.553,2.413124661478383
2008-07,216.045,2.509537095029324
2008-08,216.476,2.541317127009024
2008-09,216.862,2.4732077040845235
2008-10,217.023,2.216015599242649
2008-11,216.69,2.002965613011032
2008-12,216.1,1.763077096950405
2009-01,216.719,1.6801321209732656
2009-02,217.685,1.7856975863391078
2009-03,218.639,1.7559781445179778
2009-04,219.143,1.899013759014978
2009-05,219.128,1.8347430058555547
2009-06,219.283,1.7304328865754615
2009-07,219.35,1.5297738896989044
2009-08,219.596,1.4412683161181938
2009-09,220.137,1.5101769789082509
2009-10,220.731,1.7085746672011792
2009-11,220.384,1.704739489593421
2009-12,220.025,1.8162887552059193
2010-01,220.086,1.5536247398705294
2010-02,220.602,1.3400096469669442
2010-03,221.059,1.106847360260521
2010-04,221.166,0.9231415103379881
2010-05,221.193,0.9423715819064871
2010-06,221.265,0.9038548359882048
2010-07,221.258,0.8698427171187628
2010-08,221.551,0.8902712253410661
2010-09,221.907,0.804044753948685
2010-10,222.079,0.6106980895298042
2010-11,222.077,0.7682045883548705
2010-12,221.795,0.8044540393137067
2011-01,222.177,0.9500831493143513
2011-02,223.011,1.092011858460018
2011-03,223.69,1.1901799971953286
2011-04,224.118,1.3347440384145814
2011-05,224.534,1.5104456289303902
2011-06,224.891,1.6387589541952075
2011-07,225.164,1.7653598965913009
2011-08,225.874,1.9512437316915765
2011-09,226.289,1.9747011135295311
2011-10,226.743,2.1001535489622913
2011-11,226.859,2.1533071862462227
2011-12,226.74,2.2295362835050403
2012-01,227.237,2.277463463814877
2012-02,227.865,2.1765742497007023
2012-03,228.735,2.2553533908534096
2012-04,229.303,2.313513417039248
2012-05,229.602,2.257119189076051
2012-06,229.879,2.21796336892095
2012-07,229.893,2.10024693112576
2012-08,230.196,1.9134561746814605
2012-09,230.78,1.9846302736765908
2012-10,231.276,1.9991796880168389
2012-11,231.263,1.9412939314728428
2012-12,231.033,1.8933580312251896
2013-01,231.612,1.9253026575777765
2013-02,232.432,2.0042569065016558
2013-03,233.052,1.8873368745491392
2013-04,233.236,1.7151977950571995
2013-05,233.462,1.6811700246513572
2013-06,233.64,1.6360781106582234
2013-07,233.792,1.696006402978778
2013-08,234.258,1.7645832247302318
2013-09,234.782,1.7341190744432078
2013-10,235.162,1.6802435185665487
2013-11,235.243,1.720984333853659
2013-12,235.0,1.7170707214986702
2014-01,235.367,1.621245876724875
2014-02,236.075,1.5673401252839447
2014-03,236.913,1.6567118068070652
2014-04,237.509,1.8320499408324586
2014-05,238.029,1.9562070058510628
2014-06,238.157,1.9333162129772319
2014-07,238.138,1.8589173282233862
2014-08,238.296,1.723740491253234
2014-09,238.841,1.7288378155054573
2014-10,239.413,1.807690017945074
2014-11,239.248,1.7024948670098627
2014-12,238.775,1.6063829787233974
2015-01,239.248,1.6489142488114394
2015-02,240.083,1.697765540612095
2015-03,241.067,1.7533862641560427
2015-04,241.802,1.8075104522355057
2015-05,242.119,1.7182780249465512
2015-06,242.354,1.7622828638251153
2015-07,242.436,1.8048358514810792
2015-08,242.651,1.8275590022493127
2015-09,243.359,1.8916350207878851
2015-10,243.985,1.9096707363426502
2015-11,244.075,2.0175717247375102
2015-12,243.779,2.0956967856768927
2016-01,244.528,2.2069150003343863
2016-02,245.68,2.3312771000029153
2016-03,246.358,2.19482550494261
2016-04,246.992,2.1463842317267945
2016-05,247.544,2.240633737955311
2016-06,247.794,2.2446503874497648
2016-07,247.744,2.1894438119751225
2016-08,248.278,2.3189683949375706
2016-09,248.731,2.2074383934845176
2016-10,249.218,2.144803983851462
2016-11,249.227,2.1108265901874423
2016-12,249.134,2.196661730501792
2017-01,250.083,2.271723483609245
2017-02,251.143,2.223624226636267
2017-03,251.29,2.001964620592789
2017-04,251.642,1.8826520697026616
2017-05,251.835,1.7334292085447345
2017-06,252.014,1.7030275147905005
2017-07,251.936,1.692069232756399
2017-08,252.46,1.684402162092491
2017-09,252.941,1.6925915949358883
2017-10,253.638,1.7735476570713171
2017-11,253.492,1.711291312738994
2017-12,253.558,1.7757512021643107
2018-01,254.638,1.8213952967614855
2018-02,255.783,1.847552987740042
2018-03,256.61,2.117075888415787
2018-04,257.025,2.139150062390205
2018-05,257.469,2.2371791053666046
2018-06,257.697,2.255033450522581
2018-07,257.867,2.3541693128413588
2018-08,258.012,2.1991602630119678
2018-09,258.429,2.169675932332038
2018-10,259.063,2.1388750896947473
2018-11,259.105,2.2142710618086703
2018-12,259.083,2.1789886337642894
2019-01,260.122,2.1536455674329824
2019-02,261.114,2.0841885504509605
2019-03,261.836,2.0365535248041855
2019-04,262.332,2.064779690691565
2019-05,262.59,1.9889773137736988
2019-06,263.177,2.126528442317932
2019-07,263.566,2.21005402009562
2019-08,264.169,2.386323116754263
2019-09,264.512347075167,2.3539723
2019-10,265.161271259549,2.3539723
2019-11,265.204259927915,2.3539723
2019-12,265.181742054009,2.3539723
2020-01,266.24519982620603,2.3539723
2020-02,267.26055123142197,2.3539723
2020-03,267.999546911428,2.3539723
2020-04,268.507222614036,2.3539723
2020-05,268.77129586256996,2.3539723
2020-06,269.372113679971,2.3539723
2020-07,269.770270632218,2.3539723
2020-08,270.387465085187,2.3539723
